no_colname	no_colname	no_colname	no_colname	no_colname	no_colname
HOG11886.fa	WP_005095136.1	1.80e-44	fig|470.5685.peg.6262|SAMEA104305377_05788|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045877 | 470.5685]	VFDB
HOG1188.fa	WP_000094481.1	1.30e-45	fig|470.5054.peg.6085|BQ1898_00279|	Flagellum-specific ATP synthase FliI   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG11928.fa	WP_005262866.1	7.77e-06	fig|1122200.3.peg.3705|	Two component system sensor histidine kinase MtrB   [Marinobacterium jannaschii DSM 6295 | 1122200.3]	PATRIC
HOG11948.fa	WP_005104532.1	8.19e-20	fig|470.7101.peg.3686|	Polysaccharide intercellular adhesin (PIA) biosynthesis N-glycosyltransferase IcaA (EC 2.4.-.-)   [Acinetobacter baumannii strain MRSN7593 | 470.7101]	VFDB
HOG11955.fa	WP_005104992.1	1.93e-11	fig|1121035.3.peg.1648|VBIAzoRes270785_1648|	Transcriptional regulator of acrAB operon, AcrR   [Azovibrio restrictus DSM 23866 | 1121035.3]	PATRIC
HOG1196.fa	WP_000095824.1	0.006	fig|50340.43.peg.1381|PF66_04078|	Alginate biosynthesis two-component system sensor histidine kinase AlgZ/FimS   [Pseudomonas fuscovaginae strain IRRI 6609 | 50340.43]	PATRIC
HOG1203.fa	WP_000096556.1	0.0	fig|470.5054.peg.3259|BQ1898_01304|	T6SS AAA+ chaperone ClpV (TssH)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12062.fa	WP_005157747.1	5.28e-04	fig|1123016.6.peg.501|	Alginate biosynthesis two-component system response regulator AlgR   [Pseudomonas balearica DSM 6083 DSM6083 (=SP1402) | 1123016.6]	PATRIC
HOG12110.fa	WP_005155712.1	1.17e-18	fig|470.7253.peg.4388|	D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)   [Acinetobacter baumannii strain MRSN915 | 470.7253]	VFDB
HOG12120.fa	WP_005217213.1	0.003	fig|1500279.3.peg.232|	Two component system sensor histidine kinase MtrB   [Microbacterium sp. CF335 | 1500279.3]	PATRIC
HOG12160.fa	WP_046738235.1	1.54e-13	fig|470.5054.peg.6894|BQ1898_05718|	Flagellar biosynthesis protein FliQ   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12161.fa	WP_046738212.1	2.17e-11	fig|470.5054.peg.6895|BQ1898_05719|	Flagellar biosynthesis protein FliR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12162.fa	WP_005187026.1	1.50e-51	fig|470.5054.peg.6896|BQ1898_05720|	Flagellar biosynthesis protein FlhB   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12163.fa	WP_031947735.1	2.15e-140	fig|470.5054.peg.6899|BQ1898_05723|	Flagellar biosynthesis protein FlhA   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12164.fa	WP_046738214.1	9.93e-15	fig|470.7268.peg.2002|	Flagellar basal-body rod protein FlgG   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12165.fa	WP_031947737.1	5.83e-56	fig|470.5054.peg.6056|BQ1898_00251|	Flagellar basal-body rod protein FlgG   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12167.fa	WP_052750586.1	9.73e-23	fig|470.5054.peg.6057|BQ1898_00252|	Flagellar L-ring protein FlgH   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12168.fa	WP_005187044.1	2.15e-71	fig|470.5054.peg.6058|BQ1898_00253|	Flagellar P-ring protein FlgI   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12170.fa	WP_046738219.1	1.28e-14	fig|470.7009.peg.4146|	Flagellar basal-body rod protein FlgC   [Acinetobacter baumannii strain MRSN7455 | 470.7009]	VFDB
HOG12172.fa	WP_046738221.1	1.04e-25	fig|470.5054.peg.6082|BQ1898_00276|	Flagellar M-ring protein FliF   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12174.fa	WP_046738224.1	3.99e-108	fig|470.5651.peg.1311|SAMEA104305337_00932|	Type III secretion cytoplasmic ATP synthase (EC 3.6.3.14, YscN,SpaL,MxiB,HrcN,EscN)   [Acinetobacter baumannii strain 4300STDY7045842 | 470.5651]	VFDB
HOG12177.fa	WP_016143245.1	8.60e-12	fig|470.5054.peg.6053|BQ1898_00248|	Flagellar basal-body rod modification protein FlgD   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12178.fa	WP_005187085.1	1.58e-19	fig|470.5054.peg.6054|BQ1898_00249|	Flagellar hook protein FlgE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12180.fa	WP_046738230.1	8.45e-12	fig|470.5622.peg.2168|SAMEA104305299_08286|	Flagellar motor switch protein FliN   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG12182.fa	WP_046738232.1	2.54e-60	fig|470.5054.peg.6893|BQ1898_05717|	Flagellar biosynthesis protein FliP   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG121.fa	WP_001082090.1	3.41e-78	fig|470.3275.peg.3248|BS576_07910|	Tetracycline resistance, MFS efflux pump => Tet(B)   [Acinetobacter baumannii strain Ab158_GEIH-2000 | 470.3275]	VFDB
HOG1220.fa	WP_000101096.1	3.82e-57	fig|470.5054.peg.671|BQ1898_05298|	twitching motility protein PilH   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12262.fa	WP_039907558.1	7.94e-04	fig|470.9259.peg.2655|	Type 1 fimbriae regulatory protein FimE   [Acinetobacter baumannii strain aba45acb | 470.9259]	VFDB
HOG12328.fa	WP_031997070.1	0.006	fig|1592327.3.peg.1089|OK074_7345|	Two component system sensor histidine kinase MtrB   [Actinobacteria bacterium OK074 | 1592327.3]	PATRIC
HOG12369.fa	WP_005221904.1	0.005	fig|1522311.4.peg.2500|	Two component system response regulator MtrA   [Tessaracoccus sp. SIT6 | 1522311.4]	PATRIC
HOG12472.fa	WP_038342878.1	1.23e-29	fig|470.10130.peg.7344|	iron aquisition 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58,Irp5) @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG12479.fa	WP_081401201.1	4.53e-15	fig|470.5054.peg.1896|BQ1898_02625|	Two-component sensor PilS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG12535.fa	WP_005140931.1	0.004	fig|582680.6.peg.45|RS86_00045|	Two component system sensor histidine kinase MtrB   [Microbacterium azadirachtae strain ARN176 | 582680.6]	PATRIC
HOG12628.fa	WP_019838428.1	0.001	fig|470.3344.peg.3219|B4R42_05655|	Mobile element protein   [Acinetobacter baumannii strain ABUH343 | 470.3344]	VFDB
HOG12647.fa	WP_016138737.1	4.69e-15	fig|470.6507.peg.3924|	Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)   [Acinetobacter baumannii strain 468 | 470.6507]	VFDB
HOG1272.fa	WP_000113707.1	8.31e-10	fig|1736225.3.peg.4166|ASF13_13455|	Transcriptional regulator of acrAB operon, AcrR   [Erwinia sp. Leaf53 | 1736225.3]	PATRIC
HOG1276.fa	WP_092748185.1	5.07e-27	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1277.fa	WP_089606168.1	1.85e-08	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1278.fa	WP_001130358.1	1.18e-26	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1279.fa	WP_023273123.1	2.28e-27	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1280.fa	WP_001091973.1	1.81e-21	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1281.fa	WP_004749392.1	3.82e-15	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1282.fa	WP_004937677.1	2.14e-17	fig|470.9257.peg.1701|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1283.fa	WP_070070315.1	9.36e-29	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12840.fa	WP_016659755.1	8.06e-06	fig|470.10960.peg.3639|	Virulence-associated cell-wall-anchored protein SasH (LPXTG motif); 5'-nucleotidase (EC 3.1.3.5)   [Acinetobacter baumannii strain AS012739 | 470.10960]	VFDB
HOG1284.fa	WP_001984018.1	9.71e-24	fig|470.5622.peg.8160|SAMEA104305299_03202|	ABC transporter, ATP-binding protein   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1285.fa	WP_097078694.1	2.07e-23	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1286.fa	WP_097078698.1	4.12e-15	fig|470.9257.peg.1701|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1287.fa	WP_000582118.1	3.64e-51	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1288.fa	WP_007481413.1	4.28e-20	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12890.fa	WP_016655160.1	5.31e-32	fig|470.6998.peg.2396|	Zinc metalloproteinase aureolysin (EC 3.4.24.29)   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG1289.fa	WP_016657867.1	2.65e-22	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1290.fa	WP_000183289.1	7.51e-26	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1291.fa	WP_009389228.1	1.01e-32	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12929.fa	WP_016655904.1	2.08e-30	fig|470.5054.peg.5726|BQ1898_00038|	Transcriptional regulator PchR   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1292.fa	WP_000253309.1	1.50e-23	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG12932.fa	WP_081408711.1	3.22e-04	fig|470.6998.peg.730|	Heme transporter IsdDEF, lipoprotein IsdE   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG12934.fa	WP_016655977.1	3.46e-82	fig|470.5054.peg.3254|BQ1898_01299|	VgrG protein   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1293.fa	WP_000438622.1	1.75e-27	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12945.fa	WP_016656168.1	2.26e-16	fig|470.7268.peg.7481|	Type-1 fimbrial protein, A chain   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1294.fa	WP_000114479.1	3.61e-17	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG12958.fa	WP_016656237.1	2.31e-08	fig|470.5622.peg.8181|SAMEA104305299_03223|	Phenazine modifying protein PhzH / Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1295.fa	WP_004903597.1	1.92e-22	fig|470.5622.peg.8160|SAMEA104305299_03202|	ABC transporter, ATP-binding protein   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG12963.fa	WP_092746700.1	1.15e-07	fig|470.5623.peg.7408|	Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG1296.fa	WP_001132006.1	2.79e-24	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1297.fa	WP_000614439.1	4.35e-43	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG12987.fa	WP_016656634.1	5.87e-10	fig|470.3274.peg.3104|BS570_07345|	Tetracycline resistance regulatory protein TetR   [Acinetobacter baumannii strain Ab54_GEIH-2010 | 470.3274]	VFDB
HOG1298.fa	WP_000904332.1	5.38e-22	fig|470.9257.peg.3614|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG1299.fa	WP_087620990.1	1.69e-21	fig|470.5622.peg.8160|SAMEA104305299_03202|	ABC transporter, ATP-binding protein   [Acinetobacter baumannii strain 4300STDY7045804 | 470.5622]	VFDB
HOG1300.fa	WP_001000098.1	3.86e-18	fig|470.7268.peg.3007|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG1301.fa	WP_061392292.1	2.50e-21	fig|470.10130.peg.4545|	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG13021.fa	WP_016657451.1	5.58e-41	fig|471.22.peg.12|A9988_18820|	CFA/I fimbrial major subunit   [Acinetobacter calcoaceticus strain EGD_AQ_BF14 | 471.22]	VFDB
HOG13030.fa	WP_016657748.1	2.29e-04	fig|1120980.3.peg.1802|	Transcriptional regulator of acrAB operon, AcrR   [Alysiella crassa DSM 2578 | 1120980.3]	PATRIC
HOG13045.fa	WP_081408732.1	1.42e-09	fig|470.5054.peg.1238|BQ1898_05025|	Sigma factor PvdS, controling pyoverdin biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13048.fa	WP_016657920.1	3.96e-10	fig|470.7268.peg.7481|	Type-1 fimbrial protein, A chain   [Acinetobacter baumannii strain SIUA3 | 470.7268]	VFDB
HOG13075.fa	WP_051145773.1	5.79e-06	fig|470.5054.peg.3260|BQ1898_01305|	T6SS component TssG (ImpH/VasB)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1310.fa	WP_000117542.1	1.63e-178	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1311.fa	WP_000117601.1	1.26e-29	fig|470.5054.peg.950|BQ1898_06231|	Trans-2,3-dihydro-3-hydroxyanthranilate isomerase (EC 5.3.3.17)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13145.fa	WP_086492247.1	3.35e-05	fig|1435036.7.peg.3856|F7P73_18675|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter bohemicus strain CCUG 69707 | 1435036.7]	VFDB
HOG13176.fa	WP_001255015.1	1.46e-06	fig|470.5054.peg.2792|BQ1898_01740|	Transcriptional regulator PtxR, LysR family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13183.fa	WP_024439773.1	1.91e-16	fig|1519492.3.peg.2859|ADL03_13435|	Two component system sensor histidine kinase MtrB   [Nocardia sp. NRRL S-836 | 1519492.3]	PATRIC
HOG13188.fa	WP_001279060.1	4.29e-18	fig|470.3778.peg.541|A7A38_04775|	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)   [Acinetobacter baumannii strain AB462 | 470.3778]	VFDB
HOG1323.fa	WP_000119871.1	1.02e-37	fig|470.5054.peg.7564|BQ1898_04407|	Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13327.fa	WP_025095519.1	1.21e-05	fig|469613.3.peg.1246|HMPREF0864_02073|VBIEntBac91544_1246|	Transcriptional regulator of acrAB operon, AcrR   [Enterobacteriaceae bacterium 9_2_54FAA | 469613.3]	PATRIC
HOG13349.fa	WP_031947074.1	1.87e-08	fig|659495.3.peg.2849|VBICatAga143275_2849|	Transcriptional regulator of acrAB operon, AcrR   [Catenovulum agarivorans YM01 | 659495.3]	PATRIC
HOG13380.fa	WP_081103750.1	3.14e-09	fig|470.6778.peg.4906|	hypothetical protein   [Acinetobacter baumannii strain MRSN7130 | 470.6778]	VFDB
HOG13407.fa	WP_061403570.1	0.005	fig|470.5054.peg.3659|BQ1898_02758|	UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13417.fa	WP_005013818.1	4.54e-04	fig|2047.9.peg.1638|	Lipoprotein LpqB, modulates activity of MtrAB two-component system   [Rothia dentocariosa strain 316_RDEN | 2047.9]	PATRIC
HOG13574.fa	WP_000156164.1	5.09e-05	fig|1229489.3.peg.2978|VBIBetPro254082_2978|	Transcriptional regulator of acrAB operon, AcrR   [beta proteobacterium L13 | 1229489.3]	PATRIC
HOG1360.fa	WP_000128669.1	1.70e-17	fig|470.9257.peg.3613|	ABC transporter protein IroC   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG13686.fa	WP_000422372.1	5.25e-07	fig|883161.3.peg.1072|HMPREF9306_01076|VBIProLym171244_1072|	Two component system sensor histidine kinase MtrB   [Propionimicrobium lymphophilum ACS-093-V-SCH5 | 883161.3]	PATRIC
HOG1374.fa	WP_019385201.1	2.49e-90	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1375.fa	WP_000129948.1	7.09e-34	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1376.fa	WP_004910163.1	2.23e-41	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1377.fa	WP_005041760.1	1.89e-36	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1378.fa	WP_044112282.1	8.66e-37	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13831.fa	WP_045795657.1	1.23e-21	fig|1064537.3.peg.684|VBIBraPar219632_0684|	Two component system response regulator MtrA   [Brachybacterium paraconglomeratum LC44 | 1064537.3]	PATRIC
HOG13848.fa	WP_087662196.1	0.008	fig|1206735.3.peg.4355|VBINocTak250272_4355|	Lipoprotein LpqB, modulates activity of MtrAB two-component system   [Nocardia takedensis NBRC 100417 | 1206735.3]	PATRIC
HOG13849.fa	WP_000055239.1	1.61e-06	fig|470.10130.peg.7345|	iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG13867.fa	WP_070076857.1	0.008	fig|470.5054.peg.6888|BQ1898_05712|	Flagellar hook-length control protein FliK   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG13897.fa	WP_053577922.1	2.84e-04	fig|470.9260.peg.7626|	Type III secretion thermoregulatory protein (LcrF,VirF,transcription regulation of virulence plasmid)   [Acinetobacter baumannii strain abaGIM | 470.9260]	VFDB
HOG13928.fa	WP_067665616.1	0.010	fig|1115512.3.peg.3441|EH105704_15_00090|VBIEscHer221289_3441|	Multidrug resistance regulator EmrR (MprA)   [Escherichia hermannii NBRC 105704 | 1115512.3]	PATRIC
HOG13939.fa	WP_002114204.1	7.26e-27	fig|470.5054.peg.1480|BQ1898_06146|	T6SS component TssK (ImpJ/VasE)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1394.fa	WP_000131443.1	7.05e-30	fig|470.5054.peg.1075|BQ1898_06010|	Pyoverdin biosynthesis protein PvdH, L-2,4-diaminobutyrate:2-oxoglutarate aminotransferase (EC 2.6.1.76)   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1396.fa	WP_000132122.1	8.06e-11	fig|470.10130.peg.4537|	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore @ 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) of siderophore biosynthesis   [Acinetobacter baumannii SRR3217323 | 470.10130]	VFDB
HOG1399.fa	WP_000132357.1	3.07e-08	fig|470.9210.peg.3632|	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronic acid acetyltransferase (EC 2.3.1.201)   [Acinetobacter baumannii strain 20823 | 470.9210]	VFDB
HOG14016.fa	WP_061525326.1	0.005	fig|471.60.peg.835|EC844_103151|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter calcoaceticus strain JUb89 | 471.60]	VFDB
HOG14040.fa	WP_062848781.1	2.18e-05	fig|470.5444.peg.3031|D3X28_14375|	Catalase KatE (EC 1.11.1.6)   [Acinetobacter baumannii strain MC89 | 470.5444]	VFDB
HOG14043.fa	WP_074947287.1	1.83e-20	fig|470.5054.peg.1485|	T6SS Serine/threonine protein kinase (EC 2.7.11.1) PpkA   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG14096.fa	WP_081406374.1	3.83e-15	fig|1215104.3.peg.4206|	Alginate biosynthesis two-component system sensor histidine kinase KinB   [Pseudomonas japonica NBRC 103040 = DSM 22348 | 1215104.3]	PATRIC
HOG14148.fa	WP_097079281.1	3.07e-09	fig|470.5054.peg.1238|BQ1898_05025|	Sigma factor PvdS, controling pyoverdin biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG14176.fa	WP_085064715.1	8.55e-34	fig|2004649.3.peg.363|	ISSod13, transposase   [Acinetobacter sp. WCHA29 strain WCHA29 | 2004649.3]	VFDB
HOG14179.fa	WP_097079949.1	6.32e-06	fig|1191523.3.peg.1334|MROS_1256|VBIMelRos241275_1334|	Transcriptional regulator of acrAB operon, AcrR   [Melioribacter roseus P3M-2 | 1191523.3]	PATRIC
HOG14185.fa	WP_097080087.1	0.006	fig|470.5054.peg.5654|BQ1898_06311|	RNA polymerase sigma factor RpoE   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG141.fa	WP_000005681.1	2.66e-05	fig|470.5054.peg.5736|BQ1898_00048|	FAD-dependent monooxygenase PhzS   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG14246.fa	WP_087620667.1	5.38e-06	fig|470.9257.peg.5101|	TonB-dependent hemin, ferrichrome receptor   [Acinetobacter baumannii strain aba_imp | 470.9257]	VFDB
HOG14253.fa	WP_087621038.1	2.49e-38	fig|470.6998.peg.455|	Capsular polysaccharide synthesis enzyme Cap8M   [Acinetobacter baumannii strain MRSN7434 | 470.6998]	VFDB
HOG14254.fa	WP_087621136.1	0.007	fig|208964.12.peg.5748|PA5483|VBIPseAer58763_5748|	Alginate biosynthesis two-component system response regulator AlgB   [Pseudomonas aeruginosa PAO1 | 208964.12]	PATRIC
HOG14263.fa	WP_092716967.1	3.58e-07	fig|349967.4.peg.122|ymoll0001_10990|VBIYerMol36980_0122|	Transcriptional regulator of acrAB operon, AcrR   [Yersinia mollaretii ATCC 43969 | 349967.4]	PATRIC
HOG1439.fa	WP_000146915.1	7.34e-11	fig|470.6721.peg.2347|	iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain MRSN1966 | 470.6721]	VFDB
HOG1476.fa	WP_000161505.1	2.54e-47	fig|1117379.3.peg.1304|BABA_06241|VBIBacBat217866_1304|	Two component system response regulator MtrA   [Bacillus bataviensis LMG 21833 | 1117379.3]	PATRIC
HOG1478.fa	WP_000163427.1	1.76e-09	fig|1443113.3.peg.1229|LC20_01238|VBIYerEnt327249_1229|	Multidrug resistance regulator EmrR (MprA)   [Yersinia enterocolitica LC20 | 1443113.3]	PATRIC
HOG1489.fa	WP_000166965.1	5.05e-06	fig|1218112.3.peg.1744|	Transcriptional regulator of acrAB operon, AcrR   [Kluyvera cryocrescens NBRC 102467 | 1218112.3]	PATRIC
HOG1552.fa	WP_000177084.1	3.31e-10	fig|470.5054.peg.664|BQ1898_05291|	Transcriptional regulator, AraC family   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
HOG1566.fa	WP_005243352.1	3.04e-12	fig|470.5623.peg.4093|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG1567.fa	WP_001002959.1	4.05e-25	fig|470.5623.peg.4093|	Pyoverdine chromophore precursor synthetase PvdL @ Siderophore biosynthesis non-ribosomal peptide synthetase modules   [Acinetobacter baumannii strain 4300STDY7045820 | 470.5623]	VFDB
HOG1568.fa	WP_004865828.1	2.89e-15	fig|470.5054.peg.5725|BQ1898_00037|	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis   [Acinetobacter baumannii strain AB32_M | 470.5054]	VFDB
